case,tool,targetModules,targetChunks,routes,chunks,runs,medianMs,minMs,maxMs,spreadPct
m10k-c1k,rspack,10000,1000,100,1000,3,626,625,640,2.4
m10k-c1k,vite,10000,1000,100,901,3,587,584,595,1.9
m50k-c1k,rspack,50000,1000,300,1000,3,2018,1937,2099,8
m50k-c1k,vite,50000,1000,300,862,3,1669,1641,1745,6.2
m25k-c5k,rspack,25000,5000,300,5000,3,2651,2565,2663,3.7
m25k-c5k,vite,25000,5000,300,4701,3,2207,2155,2218,2.9
m50k-c5k,rspack,50000,5000,300,5000,3,3397,3326,3474,4.4
m50k-c5k,vite,50000,5000,300,4701,3,3040,3009,3053,1.4
m75k-c5k,rspack,75000,5000,300,5000,3,4132,4115,4240,3
m75k-c5k,vite,75000,5000,300,4701,3,3679,3519,3711,5.2
m100k-c5k,rspack,100000,5000,300,5000,3,5517,4947,5717,14
m100k-c5k,vite,100000,5000,300,4701,3,4626,4491,4638,3.2
m50k-c10k,rspack,50000,10000,300,10000,3,7394,7186,7542,4.8
m50k-c10k,vite,50000,10000,300,9701,3,4955,4798,4970,3.5
m75k-c10k,rspack,75000,10000,300,10000,3,7707,7435,7720,3.7
m75k-c10k,vite,75000,10000,300,9701,3,5494,5328,5538,3.8
m100k-c10k,rspack,100000,10000,300,10000,3,8192,7910,9740,22.3
m100k-c10k,vite,100000,10000,300,9701,3,7120,6195,7234,14.6
