case,tool,targetModules,targetChunks,routes,chunks,runs,medianMs,minMs,maxMs,spreadPct
m10k-c1k,rspack,10000,1000,100,1000,3,488,484,496,2.5
m10k-c1k,vite,10000,1000,100,901,3,432,428,437,2.1
m50k-c1k,rspack,50000,1000,300,1000,3,1549,1548,1679,8.5
m50k-c1k,vite,50000,1000,300,862,3,1330,1317,1333,1.2
m25k-c5k,rspack,25000,5000,300,5000,3,1977,1946,2003,2.9
m25k-c5k,vite,25000,5000,300,4701,3,1603,1555,1635,5
m50k-c5k,rspack,50000,5000,300,5000,3,2784,2780,2805,0.9
m50k-c5k,vite,50000,5000,300,4701,3,2193,2176,2219,2
m75k-c5k,rspack,75000,5000,300,5000,3,3490,3457,3538,2.3
m75k-c5k,vite,75000,5000,300,4701,3,2874,2831,2878,1.6
m100k-c5k,rspack,100000,5000,300,5000,3,4505,4415,4536,2.7
m100k-c5k,vite,100000,5000,300,4701,3,3583,3563,3592,0.8
m50k-c10k,rspack,50000,10000,300,10000,3,5123,5057,5238,3.5
m50k-c10k,vite,50000,10000,300,9701,3,3776,3767,3792,0.7
m75k-c10k,rspack,75000,10000,300,10000,3,5570,5491,5639,2.7
m75k-c10k,vite,75000,10000,300,9701,3,4202,4181,4488,7.3
m100k-c10k,rspack,100000,10000,300,10000,3,6845,6793,6870,1.1
m100k-c10k,vite,100000,10000,300,9701,3,5067,4971,5208,4.7
