case,tool,category,modules,runs,medianMs,minMs,maxMs,spreadPct,chunks,error
m10k-c1k,rspack,(no loader),10000,3,543,540,577,6.8,1000,
m10k-c1k,rspack,noop,10000,3,740,724,742,2.4,1000,
m10k-c1k,rspack,cpu:1000,10000,3,767,737,776,5.1,1000,
m10k-c1k,rspack,cpu:10000,10000,3,844,842,856,1.7,1000,
m10k-c1k,rspack,regex,10000,3,772,732,817,11,1000,
m10k-c1k,rspack,parse-native,10000,3,1101,1089,1112,2.1,1000,
m10k-c1k,rspack,parse-js,10000,3,997,989,1000,1.1,1000,
m10k-c1k,rspack,transform-native,10000,3,1055,1055,1059,0.4,1000,
m10k-c1k,rspack,transform-js,10000,3,1125,1090,1148,5.2,1000,
m10k-c1k,rspack,emit:1,10000,3,1463,1428,1494,4.5,1000,
m10k-c1k,vite,(no loader),10000,3,480,465,507,8.8,901,
m10k-c1k,vite,noop,10000,3,520,520,528,1.5,901,
m10k-c1k,vite,cpu:1000,10000,3,566,564,566,0.4,901,
m10k-c1k,vite,cpu:10000,10000,3,828,827,879,6.3,901,
m10k-c1k,vite,regex,10000,3,592,583,594,1.9,901,
m10k-c1k,vite,parse-native,10000,3,1132,1119,1143,2.1,901,
m10k-c1k,vite,parse-js,10000,3,976,971,1004,3.4,901,
m10k-c1k,vite,transform-native,10000,3,1079,1076,1083,0.6,901,
m10k-c1k,vite,transform-js,10000,3,1125,1125,1140,1.3,901,
m10k-c1k,vite,emit:1,10000,3,1300,1267,1308,3.2,901,
